"State","Year","Number","Rate per 1,000"
"Alabama","2015","30,647","27.8"
"Alaska","2015","10,795","57.9"
"Arizona","2015","76,581","47.2"
"Arkansas","2015","58,072","82.2"
"California","2015","375,972","41.2"
"Colorado","2015","38,376","30.6"
"Connecticut","2015","21,750","28.5"
"Delaware","2015","13,994","68.5"
"District of Columbia","2015","11,867","100.3"
"Florida","2015","281,040","68.5"
"Georgia","2015","163,134","65.2"
"Hawaii","2015","3,695","12"
"Idaho","2015","12,233","28.3"
"Illinois","2015","125,098","42.3"
"Indiana","2015","139,168","88.1"
"Iowa","2015","28,970","39.7"
"Kansas","2015","27,565","38.3"
"Kentucky","2015","74,170","73.3"
"Louisiana","2015","36,382","32.6"
"Maine","2015","12,641","49.3"
"Maryland","2015","30,927","22.9"
"Massachusetts","2015","75,688","54.7"
"Michigan","2015","147,431","66.8"
"Minnesota","2015","30,481","23.7"
"Mississippi","2015","34,069","46.9"
"Missouri","2015","73,523","52.9"
"Montana","2015","12,669","56"
"Nebraska","2015","23,190","49.3"
"Nevada","2015","28,277","42.3"
"New Hampshire","2015","11,266","42.8"
"New Jersey","2015","74,546","37.3"
"New Mexico","2015","28,223","56.9"
"New York","2015","206,453","49.1"
"North Carolina","2015","123,436","53.9"
"North Dakota","2015","6,437","36.9"
"Ohio","2015","101,836","38.8"
"Oklahoma","2015","57,141","59.5"
"Oregon","2015","39,009","45.2"
"Pennsylvania","2015","36,788","13.7"
"Puerto Rico","2015","27,961","38.2"
"Rhode Island","2015","8,429","40.1"
"South Carolina","2015","50,417","46.2"
"South Dakota","2015","4,235","20"
"Tennessee","2015","93,154","62.2"
"Texas","2015","267,880","37.1"
"Utah","2015","25,523","28"
"Vermont","2015","5,102","42.5"
"Virginia","2015","60,607","32.4"
"Washington","2015","45,338","28.1"
"West Virginia","2015","45,407","120"
"Wisconsin","2015","36,330","28.1"
"Wyoming","2015","5,632","40.4"
