"State","Year","Number","Rate per 1,000"
"Alabama","2013","27,861","25.1"
"Alaska","2013","9,375","49.8"
"Arizona","2013","75,722","46.9"
"Arkansas","2013","61,025","86"
"California","2013","370,182","40.4"
"Colorado","2013","39,725","32.1"
"Connecticut","2013","23,604","30.1"
"Delaware","2013","13,293","65.3"
"District of Columbia","2013","12,685","113.5"
"Florida","2013","284,658","70.7"
"Georgia","2013","114,270","46"
"Hawaii","2013","3,788","12.3"
"Idaho","2013","10,542","24.6"
"Illinois","2013","121,972","40.4"
"Indiana","2013","116,986","73.8"
"Iowa","2013","29,124","40.1"
"Kansas","2013","27,756","38.3"
"Kentucky","2013","70,908","69.8"
"Louisiana","2013","37,728","33.9"
"Maine","2013","12,295","46.9"
"Maryland","2013","29,438","21.9"
"Massachusetts","2013","62,878","45"
"Michigan","2013","170,290","75.8"
"Minnesota","2013","25,742","20.1"
"Mississippi","2013","30,194","41"
"Missouri","2013","66,327","47.4"
"Montana","2013","10,393","46.4"
"Nebraska","2013","21,180","45.5"
"Nevada","2013","23,633","35.9"
"New Hampshire","2013","11,064","40.8"
"New Jersey","2013","75,794","37.5"
"New Mexico","2013","23,399","46.1"
"New York","2013","205,424","48.3"
"North Carolina","2013","121,641","53.3"
"North Dakota","2013","6,170","37.8"
"Ohio","2013","103,381","39"
"Oklahoma","2013","51,952","54.8"
"Oregon","2013","40,047","46.7"
"Pennsylvania","2013","23,488","8.6"
"Puerto Rico","2013","29,167","36.3"
"Rhode Island","2013","8,485","39.6"
"South Carolina","2013","43,948","40.8"
"South Dakota","2013","4,346","20.9"
"Tennessee","2013","81,715","54.8"
"Texas","2013","238,706","33.9"
"Utah","2013","24,504","27.3"
"Vermont","2013","4,396","35.7"
"Virginia","2013","61,527","33"
"Washington","2013","43,494","27.3"
"West Virginia","2013","39,372","102.9"
"Wisconsin","2013","32,309","24.7"
"Wyoming","2013","5,632","40.9"
